2024-04-16 00:13:10,206 INFO    StreamThr :12928 [internal.py:wandb_internal():86] W&B internal server running at pid: 12928, started at: 2024-04-16 00:13:10.206704
2024-04-16 00:13:10,206 DEBUG   HandlerThread:12928 [handler.py:handle_request():146] handle_request: status
2024-04-16 00:13:10,534 INFO    WriterThread:12928 [datastore.py:open_for_write():87] open: C:\Users\DELL\Downloads\Adaptive-Traffic-Signal-Timer-main\Code\Vehicle-Detection\wandb\run-20240416_001310-vg36qwzx\run-vg36qwzx.wandb
2024-04-16 00:13:10,534 DEBUG   SenderThread:12928 [sender.py:send():379] send: header
2024-04-16 00:13:10,612 DEBUG   SenderThread:12928 [sender.py:send():379] send: run
2024-04-16 00:13:10,628 INFO    SenderThread:12928 [sender.py:_setup_resume():749] checking resume status for None/YOLOv5/vg36qwzx
2024-04-16 00:13:11,712 INFO    SenderThread:12928 [dir_watcher.py:__init__():211] watching files in: C:\Users\DELL\Downloads\Adaptive-Traffic-Signal-Timer-main\Code\Vehicle-Detection\wandb\run-20240416_001310-vg36qwzx\files
2024-04-16 00:13:11,712 INFO    SenderThread:12928 [sender.py:_start_run_threads():1124] run started: vg36qwzx with start time 1713206590.222326
2024-04-16 00:13:11,743 DEBUG   HandlerThread:12928 [handler.py:handle_request():146] handle_request: check_version
2024-04-16 00:13:11,743 DEBUG   SenderThread:12928 [sender.py:send_request():406] send_request: check_version
2024-04-16 00:13:11,993 DEBUG   HandlerThread:12928 [handler.py:handle_request():146] handle_request: run_start
2024-04-16 00:13:12,040 DEBUG   HandlerThread:12928 [system_info.py:__init__():26] System info init
2024-04-16 00:13:12,040 DEBUG   HandlerThread:12928 [system_info.py:__init__():41] System info init done
2024-04-16 00:13:12,040 INFO    HandlerThread:12928 [system_monitor.py:start():194] Starting system monitor
2024-04-16 00:13:12,055 INFO    SystemMonitor:12928 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-16 00:13:12,055 INFO    HandlerThread:12928 [system_monitor.py:probe():214] Collecting system info
2024-04-16 00:13:12,055 INFO    SystemMonitor:12928 [interfaces.py:start():190] Started cpu monitoring
2024-04-16 00:13:12,055 INFO    SystemMonitor:12928 [interfaces.py:start():190] Started disk monitoring
2024-04-16 00:13:12,055 INFO    SystemMonitor:12928 [interfaces.py:start():190] Started gpu monitoring
2024-04-16 00:13:12,055 INFO    SystemMonitor:12928 [interfaces.py:start():190] Started memory monitoring
2024-04-16 00:13:12,071 INFO    SystemMonitor:12928 [interfaces.py:start():190] Started network monitoring
2024-04-16 00:13:12,071 DEBUG   HandlerThread:12928 [system_info.py:probe():150] Probing system
2024-04-16 00:13:12,071 DEBUG   HandlerThread:12928 [system_info.py:_probe_git():135] Probing git
2024-04-16 00:13:12,165 DEBUG   HandlerThread:12928 [system_info.py:_probe_git():143] Probing git done
2024-04-16 00:13:12,165 DEBUG   HandlerThread:12928 [system_info.py:probe():198] Probing system done
2024-04-16 00:13:12,165 DEBUG   HandlerThread:12928 [system_monitor.py:probe():223] {'os': 'Windows-10-10.0.22631-SP0', 'python': '3.10.5', 'heartbeatAt': '2024-04-15T18:43:12.071378', 'startedAt': '2024-04-15T18:43:10.175557', 'docker': None, 'cuda': None, 'args': ('--img', '640', '--batch', '16', '--epochs', '50', '--data', 'dataset.yaml', '--weights', 'yolov5m.pt'), 'state': 'running', 'program': 'C:\\Users\\DELL\\Downloads\\Adaptive-Traffic-Signal-Timer-main\\Code\\Vehicle-Detection\\train.py', 'codePathLocal': 'train.py', 'codePath': 'train.py', 'git': {'remote': 'https://github.com/MaryamBoneh/Vehicle-Detection', 'commit': 'fc9278a56cbe880a2c698eb5d1e72e6251e47e45'}, 'email': 'anuraghanda15@iiitsonepat.ac.in', 'root': 'C:/Users/DELL/Downloads/Adaptive-Traffic-Signal-Timer-main/Code/Vehicle-Detection', 'host': 'King', 'username': 'DELL', 'executable': 'C:\\python\\python.exe', 'cpu_count': 4, 'cpu_count_logical': 8, 'cpu_freq': {'current': 2496.0, 'min': 0.0, 'max': 2496.0}, 'cpu_freq_per_core': [{'current': 2496.0, 'min': 0.0, 'max': 2496.0}], 'disk': {'/': {'total': 338.38964462280273, 'used': 283.7822914123535}}, 'gpu': 'NVIDIA GeForce GTX 1650 Ti', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce GTX 1650 Ti', 'memory_total': 4294967296}], 'memory': {'total': 7.79852294921875}}
2024-04-16 00:13:12,165 INFO    HandlerThread:12928 [system_monitor.py:probe():224] Finished collecting system info
